AmountSaved,Заощаджено
ScotApp_1795,Інакше оберіть “Лише картки”.
ScotApp_159,Ціна товару невідома.\nЗараз підійде консультант.\nВідкладіть товар і продовжуйте оформляти покупку.
ScotApp_458,Оберіть вид соц. допомоги.\nВикористати продовольчі талони в цій покупці не можна.
ScotApp_1329,Зачекайте...\nПеревіряється вага товару.\nУпаковано подвійну вагу.
ScotApp_407,Помилка читання картки.\n*   Ввести іншу картку\n   -або-\n* Викликати допомогу
ScotApp_706,Залишок коштів на продовольчому талоні менший за вартість покупки.\nНатисніть “OK” і оплатіть покупку в інший спосіб.
ScotApp_606,Видалитивагу
ScotApp_906,Візьміть товари.
ScotApp_705,Залишок грошової допомоги менший за вартість покупки.\nНатисніть “OK” і оплатіть покупку в інший спосіб.
ScotApp_605,Додативагу
ScotApp_405,Помилка читання картки.\n*  Ввести іншу картку\n   -або-\n* Сплатити готівкою\n   -або-\n* Викликати допомогу
ScotApp_491,Заберіть картку.
ScotApp_818,Дочекайтеся касира.\nПотрібна допомога для:
ScotApp_1796,Інакше оберіть “Лише готівка”.
ScotApp_438,Залишок на продовольчому талоні менший за потрібний.\nВрахувати в цій покупці наявний залишок %s?
ScotApp_1596,Зберегти обрану мову (%s) на вашому пристрої?\nВиберіть “Так” чи “Ні”.
ScotApp_766,З вашого рахунку буде списано %s.
ScotApp_166,Зараз підійде консультант.\nПродовжуйте оформляти покупку.
ScotApp_413,Візьміть дисконтну картку.\nБуде враховано знижку.
ScotApp_1797,Виправити помилку не вдалося.\nСпробуйте ще раз або оберіть “Лише готівка”.
ScotApp_178,"Дочекайтеся дозволу магазину.\nТовари, що очікують на дозвіл:"
ScotApp_790,Картку не прийнято.\nВиберіть інший спосіб оплати.
ScotApp_1794,Апарат наразі приймає лише готівку.\nКредитні і дебетові картки не приймаються.\nПродовжити?
ScotApp_412,"З цим товаром вартість покупки перевищить %s.\nЗробіть оплату зараз, а інші товари придбайте окремо."
ScotApp_546,Продаж товару особам вашого віку заборонено.\nВідкладіть товар та продовжуйте робити покупки.
